trial,result,time_to_hit,min_sep,launch_err,vision_count,acoustic_count,elapsed
1,HIT,8.5,2.9,2.9,0,36,110
2,HIT,3.8,2.6,3.3,21,8,111
3,HIT,3.8,2.5,9.5,23,7,111
4,HIT,3.8,2.4,9.6,16,8,111
5,HIT,4.2,2.6,10.2,20,18,110
6,HIT,3.8,2.6,3.9,17,6,110
7,HIT,4.0,2.6,10.2,19,9,110
8,HIT,3.7,2.6,10.5,38,17,110
9,HIT,3.3,2.8,3.3,35,14,111
10,HIT,3.7,2.7,4.8,18,8,111
11,HIT,4.0,2.8,11.6,44,7,111
12,HIT,4.1,2.9,11.8,46,9,110
13,HIT,4.0,2.7,5.3,18,9,110
14,HIT,3.8,2.5,3.8,36,17,111
15,HIT,4.0,3.0,10.7,38,18,111
16,HIT,3.3,2.6,9.2,13,6,111
17,HIT,3.5,3.0,11.6,39,17,110
18,HIT,3.4,2.8,4.9,11,14,110
19,HIT,3.8,2.8,3.7,40,15,110
20,HIT,3.7,2.7,1.9,21,6,111
21,HIT,3.0,2.5,5.4,31,14,111
22,HIT,3.5,2.9,6.5,37,13,110
23,HIT,3.5,2.7,5.2,34,17,110
24,HIT,3.9,2.6,6.4,18,9,111
25,HIT,4.0,2.5,4.5,36,17,111
26,HIT,3.7,2.9,4.8,18,7,110
27,HIT,3.8,2.9,8.2,15,7,110
28,HIT,3.7,3.0,9.8,15,6,111
29,HIT,3.5,2.9,13.8,12,8,111
30,HIT,3.7,2.7,2.0,11,8,110
31,HIT,4.7,2.4,6.1,27,11,110
32,HIT,3.6,2.9,6.1,16,9,111
33,HIT,3.7,2.7,10.4,16,16,111
34,HIT,3.5,2.5,13.2,36,18,110
35,HIT,3.1,2.7,10.3,31,15,110
36,HIT,3.0,2.9,14.7,9,3,111
37,HIT,3.8,2.9,2.8,16,8,111
38,HIT,3.8,2.7,12.4,10,6,111
39,HIT,3.9,2.9,3.1,36,18,110
40,HIT,3.4,3.0,6.7,15,7,110
41,HIT,3.7,2.4,3.0,14,6,110
42,HIT,3.8,2.7,5.1,21,7,111
43,HIT,3.5,3.0,5.8,35,18,111
44,HIT,3.8,2.7,6.2,16,8,111
45,HIT,3.3,2.9,1.1,31,13,110
46,HIT,3.7,2.9,11.9,19,8,110
47,HIT,4.2,2.8,9.4,43,20,110
48,HIT,3.3,2.7,4.7,34,14,111
49,HIT,3.4,2.6,7.0,29,8,110
50,HIT,5.9,2.5,13.0,44,26,110
